"","X1","RECORDING_SESSION_LABEL","Trial_Index_","LEFT_FIX_INDEX","LEFT_FIX_START_X","LEFT_FIX_START_Y","LEFT_PUPIL_SIZE","spiral_type","LEFT_IN_SACCADE","RIGHT_PUPIL_SIZE","RIGHT_FIX_START_X","RIGHT_FIX_START_Y","RIGHT_FIX_INDEX","RIGHT_IN_SACCADE","LEFT_FIX_END_X","LEFT_FIX_END_Y","RIGHT_FIX_END_X","RIGHT_FIX_END_Y","Disparity_Start","Disparity_End","DisparityType_Start","DisparityType_End","Fixation_disparity","Spiral_num","Disparity_change","ID","Trial","LEFT_travelX","LEFT_travelY","RIGHT_travelX","RIGHT_travelY","X_direction","Y_direction","XY_direction"
"1",1,"AC",1,31,1233.2,572.3,580,"clockwise",0,673,1234.4,586.5,31,0,1236.1,574.5,1236,586.6,1.20000000000005,-0.0999999999999091,"Uncrossed","Crossed","converge","Contrasting",-1.29999999999995,"AC",1,2.89999999999986,2.20000000000005,1.59999999999991,0.100000000000023,"center_Right","center_Up","Right_Up"
"2",2,"AC",1,32,883,546.3,597,"clockwise",0,687,873.6,557.7,32,0,875.5,547,861.7,557.1,-9.39999999999998,-13.8,"Crossed","Crossed","converge","Contrasting",-4.39999999999998,"AC",1,-7.5,0.700000000000045,-11.9,-0.600000000000023,"center_Right","center_Up","Right_Up"
"3",3,"AC",1,33,866.2,524.5,640,"clockwise",0,749,851.2,541.5,33,0,868.9,533.5,847,539.9,-15,-21.9,"Crossed","Crossed","converge","Contrasting",-6.89999999999998,"AC",1,2.69999999999993,9,-4.20000000000005,-1.60000000000002,"center_Right","center_Up","Right_Up"
"4",4,"AC",1,34,848.4,510.2,670,"clockwise",0,760,838.7,505.4,34,0,873.3,563.7,858.5,565,-9.69999999999993,-14.8,"Crossed","Crossed","converge","Contrasting",-5.10000000000002,"AC",1,24.9,53.5000000000001,19.8,59.6,"center_Right","center_Up","Right_Up"
"5",5,"AC",1,35,866,489.9,953,"clockwise",0,1138,858.9,521.8,35,0,870.5,546.7,849.4,550.5,-7.10000000000002,-21.1,"Crossed","Crossed","converge","Contrasting",-14,"AC",1,4.5,56.8000000000001,-9.5,28.7,"center_Right","center_Up","Right_Up"
"6",6,"AC",1,36,850.4,486.1,856,"clockwise",0,1096,863.7,415.1,36,0,877.8,540.5,856.9,535.9,13.3000000000001,-20.9,"Uncrossed","Crossed","converge","Contrasting",-34.2,"AC",1,27.4,54.4,-6.80000000000007,120.8,"center_Right","center_Up","Right_Up"
"7",7,"AC",1,37,869.2,520.6,834,"clockwise",0,1084,844.4,516.6,37,0,862.5,526.4,849.3,530.6,-24.8000000000001,-13.2,"Crossed","Crossed","diverge","Contrasting",11.6,"AC",1,-6.70000000000005,5.79999999999995,4.89999999999998,14,"center_Right","center_Up","Right_Up"
"8",8,"AC",1,38,842.1,498.8,808,"clockwise",0,1085,841.2,441.8,38,0,870.4,517.9,862.9,525.6,-0.899999999999977,-7.5,"Crossed","Crossed","converge","Contrasting",-6.60000000000002,"AC",1,28.3,19.1,21.6999999999999,83.8,"center_Right","center_Up","Right_Up"
"9",9,"AC",1,39,860.2,509,713,"clockwise",0,867,846.9,513.6,40,0,870.7,520.8,849.9,527.2,-13.3000000000001,-20.8000000000001,"Crossed","Crossed","converge","Contrasting",-7.5,"AC",1,10.5,11.8,3,13.6,"center_Right","center_Up","Right_Up"
"10",10,"AC",29,14,819.9,533.7,681,"clockwise",0,862,814.1,535.9,14,0,841.4,530.9,827.3,531.8,-5.79999999999995,-14.1,"Crossed","Crossed","converge","Contrasting",-8.30000000000007,"AC",29,21.5,-2.80000000000007,13.1999999999999,-4.10000000000002,"center_Left","center_Up","Left_Up"
"11",11,"AC",29,15,823.8,524,637,"clockwise",0,787,812.5,528.5,15,0,847.5,532.1,834.6,540.6,-11.3,-12.9,"Crossed","Crossed","converge","Contrasting",-1.60000000000002,"AC",29,23.7,8.10000000000002,22.1,12.1,"center_Left","center_Up","Left_Up"
"12",12,"AC",29,16,824.7,508.9,635,"clockwise",0,783,816.5,508.5,16,0,865.9,546.7,847.7,557.3,-8.20000000000005,-18.1999999999999,"Crossed","Crossed","converge","Contrasting",-9.99999999999989,"AC",29,41.1999999999999,37.8000000000001,31.2,48.8,"center_Right","center_Up","Right_Up"
"13",13,"AC",29,17,848.5,515.7,596,"clockwise",0,729,840.1,526.2,17,0,861.7,561.7,851.8,569.1,-8.39999999999998,-9.90000000000009,"Crossed","Crossed","converge","Contrasting",-1.50000000000011,"AC",29,13.2,46,11.6999999999999,42.9,"center_Right","center_Up","Right_Up"
"14",14,"AC",29,18,845,508.9,657,"clockwise",0,819,842.8,514.9,18,0,838.9,558.5,833.4,574.2,-2.20000000000005,-5.5,"Crossed","Crossed","converge","Contrasting",-3.29999999999995,"AC",29,-6.10000000000002,49.6,-9.39999999999998,59.3000000000001,"center_Left","center_Up","Left_Up"
"15",15,"AC",29,19,816.1,505.1,832,"clockwise",0,1112,818.6,520,19,0,830.7,542.4,842.1,539.1,2.5,11.4,"Uncrossed","Uncrossed","diverge","Contrasting",8.89999999999998,"AC",29,14.6,37.3,23.5,19.1,"center_Right","center_Up","Right_Up"
"16",16,"AC",50,10,849.8,512.8,574,"clockwise",0,712,848.8,505.8,11,0,858.1,518.6,854.9,551.6,-1,-3.20000000000005,"Crossed","Crossed","converge","Contrasting",-2.20000000000005,"AC",50,8.30000000000007,5.80000000000007,6.10000000000002,45.8,"center_Right","center_Up","Right_Up"
"17",17,"AC",50,11,832.4,511.9,635,"clockwise",0,885,837.9,468.1,12,0,834,524.3,830.6,546.2,5.5,-3.39999999999998,"Uncrossed","Crossed","converge","Contrasting",-8.89999999999998,"AC",50,1.60000000000002,12.4,-7.29999999999995,78.1,"center_Left","center_Up","Left_Up"
"18",18,"AC",50,12,847.5,519.7,668,"clockwise",0,857,844,535.8,13,0,851.1,527.4,851.4,540.1,-3.5,0.299999999999955,"Crossed","Uncrossed","diverge","Contrasting",3.79999999999995,"AC",50,3.60000000000002,7.69999999999993,7.39999999999998,4.30000000000007,"center_Right","center_Up","Right_Up"
"19",19,"AC",50,13,833,490.1,670,"clockwise",0,853,840,518,14,0,863,514.4,857.1,516.6,7,-5.89999999999998,"Uncrossed","Crossed","converge","Contrasting",-12.9,"AC",50,30,24.3,17.1,-1.39999999999998,"center_Right","center_Down","Right_Down"
"20",20,"AC",50,14,836.2,514.8,635,"clockwise",0,811,829.1,521.6,15,0,867,520.8,850.4,538.7,-7.10000000000002,-16.6,"Crossed","Crossed","converge","Contrasting",-9.5,"AC",50,30.8,6,21.3,17.1,"center_Right","center_Up","Right_Up"
"21",21,"AC",50,15,834.7,515.1,583,"clockwise",0,740,819.1,526.7,16,0,876.7,539.3,871.6,547.3,-15.6,-5.10000000000002,"Crossed","Crossed","diverge","Contrasting",10.5,"AC",50,42,24.1999999999999,52.5,20.5999999999999,"center_Right","center_Up","Right_Up"
"22",22,"AC",50,16,847.3,520.6,593,"clockwise",0,746,852.4,527.2,17,0,877.5,563.5,873.2,574.6,5.10000000000002,-4.29999999999995,"Uncrossed","Crossed","converge","Contrasting",-9.39999999999998,"AC",50,30.2,42.9,20.8000000000001,47.4,"center_Right","center_Up","Right_Up"
"23",23,"AC",50,17,850.4,518.9,640,"clockwise",0,812,852.8,530.5,18,0,854.5,576.7,860.3,590.4,2.39999999999998,5.79999999999995,"Uncrossed","Uncrossed","diverge","Contrasting",3.39999999999998,"AC",50,4.10000000000002,57.8000000000001,7.5,59.9,"center_Right","center_Up","Right_Up"
"24",24,"AC",50,18,841,520.7,885,"clockwise",0,1146,857.3,534.2,19,0,851.9,552.9,843.1,571.5,16.3,-8.79999999999995,"Uncrossed","Crossed","converge","Contrasting",-25.0999999999999,"AC",50,10.9,32.1999999999999,-14.1999999999999,37.3,"center_Right","center_Up","Right_Up"
"25",25,"AC",50,19,839.3,449.3,850,"clockwise",0,1141,825.5,471.8,20,0,836.9,447.1,816.5,463.9,-13.8,-20.4,"Crossed","Crossed","converge","Contrasting",-6.60000000000002,"AC",50,-2.39999999999998,-2.19999999999999,-9,-7.90000000000003,"center_Left","center_Down","Left_Down"
"26",26,"AC",50,20,838.5,475.8,806,"clockwise",0,1081,813.4,496.1,21,0,835.4,484.5,814.1,497.1,-25.1,-21.3,"Crossed","Crossed","diverge","Contrasting",3.80000000000007,"AC",50,-3.10000000000002,8.69999999999999,0.700000000000045,1,"center_Left","center_Down","Left_Down"
"27",27,"AC",50,8,980.2,575.3,684,"clockwise",0,836,974.7,580.1,8,0,979.3,574.1,987.5,577.6,-5.5,8.20000000000005,"Crossed","Uncrossed","diverge","Contrasting",13.7,"AC",50,-0.900000000000091,-1.19999999999993,12.8,-2.5,"center_Right","center_Up","Right_Up"
"28",28,"AC",50,9,848.5,519,632,"clockwise",0,769,852.3,530.3,9,0,862.1,526.5,859.6,538.3,3.79999999999995,-2.5,"Uncrossed","Crossed","converge","Contrasting",-6.29999999999995,"AC",50,13.6,7.5,7.30000000000007,8,"center_Right","center_Up","Right_Up"
"29",29,"AC",71,15,884.6,535,591,"clockwise",0,757,866.5,542.1,15,0,888.9,540.4,869.8,544.3,-18.1,-19.1,"Crossed","Crossed","converge","Contrasting",-1,"AC",71,4.29999999999995,5.39999999999998,3.29999999999995,2.19999999999993,"center_Right","center_Up","Right_Up"
"30",30,"AC",71,16,846.4,531.7,603,"clockwise",0,762,834.8,533.8,16,0,856.6,515.2,838.8,522.9,-11.6,-17.8000000000001,"Crossed","Crossed","converge","Contrasting",-6.20000000000005,"AC",71,10.2,-16.5,4,-10.9,"center_Left","center_Down","Left_Down"
"31",31,"AC",71,17,842.6,503.4,588,"clockwise",0,750,827.2,510.4,17,0,858,511.5,845.5,532.3,-15.4,-12.5,"Crossed","Crossed","diverge","Contrasting",2.89999999999998,"AC",71,15.4,8.10000000000002,18.3,21.9,"center_Right","center_Up","Right_Up"
"32",32,"AC",71,18,838.5,503.8,619,"clockwise",0,807,829.7,524.7,18,0,874.8,534.1,857.8,549.8,-8.79999999999995,-17,"Crossed","Crossed","converge","Contrasting",-8.20000000000005,"AC",71,36.3,30.3,28.0999999999999,25.0999999999999,"center_Right","center_Up","Right_Up"
"33",33,"AC",71,19,859.6,519,571,"clockwise",0,736,849.5,530.9,19,0,871.3,526.2,850,537.7,-10.1,-21.3,"Crossed","Crossed","converge","Contrasting",-11.1999999999999,"AC",71,11.6999999999999,7.20000000000005,0.5,6.80000000000007,"center_Right","center_Up","Right_Up"
"34",34,"AC",71,20,836.6,526.7,583,"clockwise",0,744,817.2,534.3,20,0,855.1,537.8,832,549.4,-19.4,-23.1,"Crossed","Crossed","converge","Contrasting",-3.70000000000005,"AC",71,18.5,11.0999999999999,14.8,15.1,"center_Left","center_Up","Left_Up"
"35",35,"AC",71,21,828.1,506.4,605,"clockwise",0,772,814.5,517,21,0,877.3,541.4,856.1,547.7,-13.6,-21.1999999999999,"Crossed","Crossed","converge","Contrasting",-7.59999999999991,"AC",71,49.1999999999999,35,41.6,30.7,"center_Right","center_Up","Right_Up"
"36",36,"AC",71,22,861.7,501.9,605,"clockwise",0,816,850.5,508.8,22,0,881.6,524.8,865.8,531.9,-11.2,-15.8000000000001,"Crossed","Crossed","converge","Contrasting",-4.60000000000002,"AC",71,19.9,22.9,15.3,23.1,"center_Right","center_Up","Right_Up"
"37",37,"AC",71,23,853.8,521.1,584,"clockwise",0,748,839.1,525.3,23,0,873,543.4,853.3,555.4,-14.6999999999999,-19.7,"Crossed","Crossed","converge","Contrasting",-5.00000000000011,"AC",71,19.2,22.3,14.1999999999999,30.1,"center_Right","center_Up","Right_Up"
"38",38,"AC",71,24,866.3,512.6,602,"clockwise",0,761,854,523.4,24,0,879.6,528,861.8,536.8,-12.3,-17.8000000000001,"Crossed","Crossed","converge","Contrasting",-5.50000000000011,"AC",71,13.3000000000001,15.4,7.79999999999995,13.4,"center_Right","center_Up","Right_Up"
"39",39,"AC",71,25,852.5,520.4,564,"clockwise",0,710,837.9,528.7,25,0,870.4,543.9,842,548,-14.6,-28.4,"Crossed","Crossed","converge","Contrasting",-13.8,"AC",71,17.9,23.5,4.10000000000002,19.3,"center_Right","center_Up","Right_Up"
"40",40,"AC",71,26,848.1,529.6,589,"clockwise",0,770,821.3,530.8,26,0,873.6,539.8,854.1,553.9,-26.8000000000001,-19.5,"Crossed","Crossed","diverge","Contrasting",7.30000000000007,"AC",71,25.5,10.1999999999999,32.8000000000001,23.1,"center_Right","center_Up","Right_Up"
"41",41,"AC",71,27,825.4,510.8,597,"clockwise",0,769,819.8,520,27,0,860.8,533.4,841.2,546.3,-5.60000000000002,-19.5999999999999,"Crossed","Crossed","converge","Contrasting",-13.9999999999999,"AC",71,35.4,22.6,21.4000000000001,26.3,"center_Right","center_Up","Right_Up"
"42",42,"AC",71,28,829.9,514.4,619,"clockwise",0,834,817.7,525.3,28,0,847.7,530.6,828.8,544.9,-12.1999999999999,-18.9000000000001,"Crossed","Crossed","converge","Contrasting",-6.70000000000016,"AC",71,17.8000000000001,16.2,11.0999999999999,19.6,"center_Left","center_Up","Left_Up"
"43",43,"AF",1,24,999.2,570.5,451,"clockwise",0,389,965.7,582.2,24,0,991,574.2,951,589.5,-33.5,-40,"Crossed","Crossed","converge","Contrasting",-6.5,"AF",1,-8.20000000000005,3.70000000000005,-14.7,7.29999999999995,"center_Right","center_Up","Right_Up"
"44",44,"AF",1,25,872,557.8,489,"clockwise",0,434,824.9,570,25,0,882,551,830.6,559.7,-47.1,-51.4,"Crossed","Crossed","converge","Contrasting",-4.29999999999995,"AF",1,10,-6.79999999999995,5.70000000000005,-10.3,"center_Left","center_Up","Left_Up"
"45",45,"AF",1,26,750.9,526.3,443,"clockwise",0,396,699.5,531.5,26,0,760.2,521.4,706.8,526.7,-51.4,-53.4000000000001,"Crossed","Crossed","converge","Contrasting",-2.00000000000011,"AF",1,9.30000000000007,-4.89999999999998,7.29999999999995,-4.79999999999995,"center_Left","center_Up","Left_Up"
"46",46,"AF",1,27,874.9,525.4,411,"clockwise",0,373,827.1,536,27,0,866.7,499.6,798.4,514.6,-47.8,-68.3000000000001,"Crossed","Crossed","converge","Contrasting",-20.5000000000001,"AF",1,-8.19999999999993,-25.8,-28.7,-21.4,"center_Left","center_Down","Left_Down"
"47",47,"AF",1,28,842.3,508.2,459,"clockwise",0,412,780.8,514.8,27,0,850.5,509.7,792.2,511.3,-61.5,-58.3,"Crossed","Crossed","diverge","Contrasting",3.20000000000005,"AF",1,8.20000000000005,1.5,11.4000000000001,-3.49999999999994,"center_Left","center_Down","Left_Down"
"48",48,"AF",1,29,883.9,522.1,451,"clockwise",0,414,818.4,523.4,28,0,871.4,516.9,817.8,518.9,-65.5,-53.6,"Crossed","Crossed","diverge","Contrasting",11.9,"AF",1,-12.5,-5.20000000000005,-0.600000000000023,-4.5,"center_Left","center_Down","Left_Down"
"49",49,"AF",1,30,850.4,513.1,399,"clockwise",0,369,801.1,518.9,29,0,848.4,524.3,790.9,515.6,-49.3,-57.5,"Crossed","Crossed","converge","Contrasting",-8.20000000000005,"AF",1,-2,11.1999999999999,-10.2,-3.29999999999995,"center_Left","center_Down","Left_Down"
"50",50,"AF",1,31,887.7,516.3,514,"clockwise",0,467,844.1,512.2,30,0,871.4,527.7,826.2,513.6,-43.6,-45.1999999999999,"Crossed","Crossed","converge","Contrasting",-1.59999999999991,"AF",1,-16.3000000000001,11.4000000000001,-17.9,1.39999999999998,"center_Left","center_Down","Left_Down"
"51",51,"AF",1,32,848.9,532.7,481,"clockwise",0,436,803.5,515.1,31,0,861.3,528.1,814.2,514.7,-45.4,-47.0999999999999,"Crossed","Crossed","converge","Contrasting",-1.69999999999993,"AF",1,12.4,-4.60000000000002,10.7,-0.399999999999977,"center_Left","center_Down","Left_Down"
"52",52,"AF",29,13,700.6,425.2,363,"clockwise",0,282,603.5,416.7,13,0,702.9,426.5,604.6,414.6,-97.1,-98.3,"Crossed","Crossed","converge","Contrasting",-1.19999999999993,"AF",29,2.29999999999995,1.30000000000001,1.10000000000002,-2.09999999999997,"center_Left","center_Down","Left_Down"
"53",53,"AF",29,14,850.4,429.6,362,"clockwise",0,287,748.7,446.3,14,0,840.2,436.8,748.5,446.9,-101.7,-91.7,"Crossed","Crossed","diverge","Contrasting",9.99999999999989,"AF",29,-10.1999999999999,7.19999999999999,-0.200000000000045,0.599999999999966,"center_Left","center_Down","Left_Down"
"54",54,"AF",29,15,889.2,475.5,390,"clockwise",0,306,797.7,482.4,15,0,875.7,476.8,786.4,482.1,-91.5,-89.3000000000001,"Crossed","Crossed","diverge","Contrasting",2.19999999999993,"AF",29,-13.5,1.30000000000001,-11.3000000000001,-0.299999999999955,"center_Left","center_Down","Left_Down"
"55",55,"AF",29,16,904.5,480.1,384,"clockwise",0,308,809.4,486.1,16,0,890,472.9,780.1,475.3,-95.1,-109.9,"Crossed","Crossed","converge","Contrasting",-14.8,"AF",29,-14.5,-7.20000000000005,-29.3,-10.8,"center_Left","center_Down","Left_Down"
"56",56,"AF",50,23,821.5,441.2,355,"clockwise",0,300,826.3,411.9,23,0,823.1,443,822.8,417.8,4.79999999999995,-0.300000000000068,"Uncrossed","Crossed","converge","Contrasting",-5.10000000000002,"AF",50,1.60000000000002,1.80000000000001,-3.5,5.90000000000003,"center_Left","center_Down","Left_Down"
"57",57,"AF",50,24,839.7,498.5,343,"clockwise",0,290,843.1,473,24,0,818,517,819.7,482.6,3.39999999999998,1.70000000000005,"Uncrossed","Uncrossed","converge","Contrasting",-1.69999999999993,"AF",50,-21.7,18.5,-23.4,9.60000000000002,"center_Left","center_Down","Left_Down"
"58",58,"AF",50,25,841,519.1,497,"clockwise",0,398,841.4,484.1,25,0,834.6,521.1,835.3,477.6,0.399999999999977,0.699999999999932,"Uncrossed","Uncrossed","diverge","Contrasting",0.299999999999955,"AF",50,-6.39999999999998,2,-6.10000000000002,-6.5,"center_Left","center_Down","Left_Down"
"59",59,"AF",71,12,835.4,436.6,352,"clockwise",0,298,792.4,451.3,12,0,834.9,445.3,788.4,455.1,-43,-46.5,"Crossed","Crossed","converge","Contrasting",-3.5,"AF",71,-0.5,8.69999999999999,-4,3.80000000000001,"center_Left","center_Down","Left_Down"
"60",60,"AF",71,13,886.9,495.2,376,"clockwise",0,315,838.4,497.1,13,0,863.6,479.4,814.5,477.1,-48.5,-49.1,"Crossed","Crossed","converge","Contrasting",-0.600000000000023,"AF",71,-23.3,-15.8,-23.9,-20,"center_Left","center_Down","Left_Down"
"61",61,"AF",71,14,887.9,480.6,414,"clockwise",0,332,844.4,472.5,14,0,853.8,482.3,814.9,474.8,-43.5,-38.9,"Crossed","Crossed","diverge","Contrasting",4.60000000000002,"AF",71,-34.1,1.69999999999999,-29.5,2.30000000000001,"center_Left","center_Down","Left_Down"
"62",62,"AG",1,32,843.3,454.2,1077,"clockwise",0,1091,829.5,470.5,32,0,843.3,453.7,827.7,465.7,-13.8,-15.5999999999999,"Crossed","Crossed","converge","Contrasting",-1.79999999999995,"AG",1,0,-0.5,-1.79999999999995,-4.80000000000001,"center_Left","center_Down","Left_Down"
"63",63,"AG",1,33,852.3,519.5,1069,"clockwise",0,1077,836.1,538.1,33,0,866,553,833.1,569,-16.1999999999999,-32.9,"Crossed","Crossed","converge","Contrasting",-16.7,"AG",1,13.7,33.5,-3,30.9,"center_Left","center_Up","Left_Up"
"64",64,"AG",1,34,850,505.4,1090,"clockwise",0,1105,829.9,492.9,35,0,852.2,543.3,849.9,536.9,-20.1,-2.30000000000007,"Crossed","Crossed","diverge","Contrasting",17.8,"AG",1,2.20000000000005,37.9,20,44,"center_Right","center_Up","Right_Up"
"65",65,"AG",1,35,829.8,531.7,1099,"clockwise",0,1077,825.6,527.5,36,0,897.5,579.3,900.3,583.1,-4.19999999999993,2.79999999999995,"Crossed","Uncrossed","diverge","Contrasting",6.99999999999989,"AG",1,67.7,47.5999999999999,74.6999999999999,55.6,"center_Right","center_Up","Right_Up"
"66",66,"AG",1,36,837.2,541.6,996,"clockwise",0,1079,840.8,545.2,37,0,880.4,552.8,881.8,557.8,3.59999999999991,1.39999999999998,"Uncrossed","Uncrossed","converge","Contrasting",-2.19999999999993,"AG",1,43.1999999999999,11.1999999999999,41,12.5999999999999,"center_Right","center_Up","Right_Up"
"67",67,"AG",1,37,839.4,552.7,1051,"clockwise",0,1126,837.6,528.1,38,0,867.4,556.2,852.4,556.8,-1.79999999999995,-15,"Crossed","Crossed","converge","Contrasting",-13.2,"AG",1,28,3.5,14.8,28.6999999999999,"center_Right","center_Up","Right_Up"
"68",68,"AG",1,38,850.7,536.5,996,"clockwise",0,996,837.3,533.3,39,0,856.4,560.4,839.2,558.1,-13.4000000000001,-17.1999999999999,"Crossed","Crossed","converge","Contrasting",-3.79999999999984,"AG",1,5.69999999999993,23.9,1.90000000000009,24.8000000000001,"center_Left","center_Up","Left_Up"
"69",69,"AG",1,39,842.5,546.5,1048,"clockwise",0,1054,826.7,542.1,40,0,876,572.1,884,586,-15.8,8,"Crossed","Uncrossed","diverge","Contrasting",23.8,"AG",1,33.5,25.6,57.3,43.9,"center_Right","center_Up","Right_Up"
"70",70,"AG",29,17,1210.2,665.5,991,"clockwise",0,987,1232,678,17,0,1213.2,655,1240.2,661.7,21.8,27,"Uncrossed","Uncrossed","diverge","Contrasting",5.20000000000005,"AG",29,3,-10.5,8.20000000000005,-16.3,"center_Right","center_Up","Right_Up"
"71",71,"AG",29,18,904.3,506.8,952,"clockwise",0,924,924.3,532,18,0,894.9,500.3,913.3,523.9,20,18.4,"Uncrossed","Uncrossed","converge","Contrasting",-1.60000000000002,"AG",29,-9.39999999999998,-6.5,-11,-8.10000000000002,"center_Right","center_Down","Right_Down"
"72",72,"AG",29,19,861.2,587.2,941,"clockwise",0,911,886,581.5,19,0,850.4,518.7,872.6,537.5,24.8,22.2,"Uncrossed","Uncrossed","converge","Contrasting",-2.59999999999991,"AG",29,-10.8000000000001,-68.5,-13.4,-44,"center_Right","center_Up","Right_Up"
"73",73,"AG",29,20,829.2,504.6,1017,"clockwise",0,1028,850.9,531.8,20,0,853.2,510.9,873.5,538.9,21.6999999999999,20.3,"Uncrossed","Uncrossed","converge","Contrasting",-1.39999999999998,"AG",29,24,6.29999999999995,22.6,7.10000000000002,"center_Right","center_Up","Right_Up"
"74",74,"AG",29,21,840.6,495.4,793,"clockwise",0,777,852.6,525.2,21,0,859.7,535.4,875.6,547.5,12,15.9,"Uncrossed","Uncrossed","diverge","Contrasting",3.89999999999998,"AG",29,19.1,40,23,22.3,"center_Right","center_Up","Right_Up"
"75",75,"AG",29,22,827.6,514.4,831,"clockwise",0,802,852.2,529.2,22,0,851.7,519.8,869.3,533.6,24.6,17.5999999999999,"Uncrossed","Uncrossed","converge","Contrasting",-7.00000000000011,"AG",29,24.1,5.39999999999998,17.0999999999999,4.39999999999998,"center_Right","center_Up","Right_Up"
"76",76,"AG",29,23,837.5,507.1,838,"clockwise",0,813,855.8,520.9,23,0,856.4,535.2,875.9,546.7,18.3,19.5,"Uncrossed","Uncrossed","diverge","Contrasting",1.20000000000005,"AG",29,18.9,28.1,20.1,25.8000000000001,"center_Right","center_Up","Right_Up"
"77",77,"AG",29,24,834.6,523.7,840,"clockwise",0,838,850,531.4,24,0,814.3,571.1,947.8,582.3,15.4,133.5,"Uncrossed","Uncrossed","diverge","Contrasting",118.1,"AG",29,-20.3000000000001,47.4,97.8,50.9,"center_Right","center_Up","Right_Up"
"78",78,"AG",29,25,738.4,527.3,1004,"clockwise",0,960,866.5,530.2,25,0,807.4,536.8,872.8,547.7,128.1,65.4,"Uncrossed","Uncrossed","converge","Contrasting",-62.7,"AG",29,69,9.5,6.29999999999995,17.5,"center_Right","center_Up","Right_Up"
"79",79,"AG",50,13,853.9,426.2,930,"clockwise",0,902,884.1,380.2,13,0,857.9,428.9,888.5,382,30.2,30.6,"Uncrossed","Uncrossed","diverge","Contrasting",0.399999999999977,"AG",50,4,2.69999999999999,4.39999999999998,1.80000000000001,"center_Right","center_Down","Right_Down"
"80",80,"AG",50,14,859.3,515.5,848,"clockwise",0,840,891.2,498.2,14,0,852.6,511,882.7,483.6,31.9000000000001,30.1,"Uncrossed","Uncrossed","converge","Contrasting",-1.80000000000007,"AG",50,-6.69999999999993,-4.5,-8.5,-14.6,"center_Right","center_Down","Right_Down"
"81",81,"AG",50,15,837.6,543.5,991,"clockwise",0,995,864.5,528.2,15,0,844.8,549.8,869.7,520.2,26.9,24.9000000000001,"Uncrossed","Uncrossed","converge","Contrasting",-1.99999999999989,"AG",50,7.19999999999993,6.29999999999995,5.20000000000005,-8,"center_Right","center_Down","Right_Down"
"82",82,"AG",50,16,840.3,534.1,981,"clockwise",0,983,864.5,506.9,15,0,860.7,546.6,889.9,525,24.2,29.1999999999999,"Uncrossed","Uncrossed","diverge","Contrasting",4.99999999999989,"AG",50,20.4000000000001,12.5,25.4,18.1,"center_Right","center_Down","Right_Down"
"83",83,"AG",50,17,848.5,534.8,777,"clockwise",0,747,869.9,507.9,16,0,875.4,590.4,898.8,558.8,21.4,23.4,"Uncrossed","Uncrossed","diverge","Contrasting",2,"AG",50,26.9,55.6,28.9,50.9,"center_Right","center_Up","Right_Up"
"84",84,"AG",50,18,848.6,564.1,979,"clockwise",0,935,873.1,527.7,17,0,863.3,575.6,902.8,546.8,24.5,39.5,"Uncrossed","Uncrossed","diverge","Contrasting",15,"AG",50,14.6999999999999,11.5,29.6999999999999,19.0999999999999,"center_Right","center_Up","Right_Up"
"85",85,"AG",50,19,841.7,556.4,899,"clockwise",0,864,876.7,515.5,18,0,866.7,591.3,895.6,555,35,28.9,"Uncrossed","Uncrossed","converge","Contrasting",-6.10000000000002,"AG",50,25,34.9,18.9,39.5,"center_Right","center_Up","Right_Up"
"86",86,"AG",50,20,848.9,567.5,972,"clockwise",0,936,882.8,533,19,0,877.4,591.6,909.9,559.7,33.9,32.5,"Uncrossed","Uncrossed","converge","Contrasting",-1.39999999999998,"AG",50,28.5,24.1,27.1,26.7,"center_Right","center_Up","Right_Up"
"87",87,"AG",50,21,848.6,568.7,930,"clockwise",0,888,882.3,537.2,20,0,870.9,589,917.7,562.5,33.6999999999999,46.8000000000001,"Uncrossed","Uncrossed","diverge","Contrasting",13.1000000000001,"AG",50,22.3,20.3,35.4000000000001,25.3,"center_Right","center_Up","Right_Up"
"88",88,"AG",71,25,1059.1,515,875,"clockwise",0,881,1066.7,499.4,25,0,1062.1,517.1,1065.7,501.1,7.60000000000014,3.60000000000014,"Uncrossed","Uncrossed","converge","Contrasting",-4,"AG",71,3,2.10000000000002,-1,1.70000000000005,"center_Right","center_Down","Right_Down"
"89",89,"AG",71,26,858,555,901,"clockwise",0,886,880.9,536.3,26,0,865.7,563.3,887.5,542.3,22.9,21.8,"Uncrossed","Uncrossed","converge","Contrasting",-1.10000000000002,"AG",71,7.70000000000005,8.29999999999995,6.60000000000002,6,"center_Right","center_Up","Right_Up"
"90",90,"AG",71,27,828.2,563.6,922,"clockwise",0,915,847.6,538.9,27,0,829.9,559.7,853.2,541,19.4,23.3000000000001,"Uncrossed","Uncrossed","diverge","Contrasting",3.90000000000009,"AG",71,1.69999999999993,-3.89999999999998,5.60000000000002,2.10000000000002,"center_Right","center_Up","Right_Up"
"91",91,"AG",71,28,848,560.4,831,"clockwise",0,839,867.8,539.7,27,0,855,559.1,871.8,541.1,19.8,16.8,"Uncrossed","Uncrossed","converge","Contrasting",-3,"AG",71,7,-1.29999999999995,4,1.39999999999998,"center_Right","center_Up","Right_Up"
